sound_id,class,action
802014,m-si,exclude
809020,m-m,exclude
809706,m-sp,exclude
802344,m-si,exclude
809656,m-sp,exclude
802047,m-si,exclude
802324,m-si,exclude
802034,m-si,exclude
809726,m-sp,exclude
802142,is-p,exclude
809645,m-sp,exclude
809715,m-sp,exclude
798959,is-p,exclude
809736,m-sp,exclude
802001,m-si,exclude
809703,m-sp,exclude
809740,m-sp,exclude
800251,is-p,exclude
809730,m-sp,exclude
798257,is-p,exclude
837703,fx-ex,exclude
802415,is-p,exclude
809701,m-sp,exclude
798907,is-p,exclude
798299,is-p,exclude
815877,fx-h,exclude
801995,m-si,exclude
802323,m-si,exclude
809294,m-sp,exclude
802326,m-si,exclude
809623,m-sp,exclude
798855,is-p,exclude
802313,m-si,exclude
802032,m-si,exclude
802311,m-si,exclude
802385,m-si,exclude
802424,is-p,exclude
809652,m-sp,exclude
808872,fx-m,exclude
802320,m-si,exclude
802335,m-si,exclude
809704,m-sp,exclude
798785,is-p,exclude
802430,is-p,exclude
802440,is-p,exclude
812387,fx-h,exclude
811217,fx-v,exclude
798799,is-p,exclude
809644,m-sp,exclude
809148,m-si,exclude
809301,m-sp,exclude
802315,m-si,exclude
802048,m-si,exclude
833818,fx-h,exclude
809679,m-sp,exclude
809729,m-sp,exclude
798902,is-p,exclude
801167,is-p,exclude
802035,m-si,exclude
801999,m-si,exclude
802011,m-si,exclude
809662,m-sp,exclude
809713,m-sp,exclude
800324,is-p,exclude
798924,is-p,exclude
798899,is-p,exclude
809741,m-sp,exclude
798780,is-p,exclude
824115,fx-h,exclude
798771,is-p,exclude
802040,m-si,exclude
807773,fx-h,exclude
800261,is-p,exclude
798797,is-p,exclude
802030,m-si,exclude
800319,is-p,exclude
802305,m-si,exclude
801166,is-p,exclude
802003,m-si,exclude
798193,is-p,exclude
802299,m-si,exclude
802316,m-si,exclude
801983,m-si,exclude
837654,fx-m,exclude
809554,m-sp,exclude
798783,is-p,exclude
798928,is-p,exclude
800315,is-p,exclude
802004,m-si,exclude
802041,m-si,exclude
809565,m-sp,exclude
809728,m-sp,exclude
809779,m-sp,exclude
809601,m-sp,exclude
802039,m-si,exclude
809567,m-sp,exclude
798269,is-p,exclude
802174,is-p,exclude
828863,fx-h,exclude
827002,fx-el,exclude
801126,is-p,exclude
799890,fx-m,exclude
800330,is-p,exclude
809497,m-sp,exclude
802314,m-si,exclude
801997,m-si,exclude
802321,m-si,exclude
801165,is-p,exclude
802438,is-p,exclude
802021,m-si,exclude
800252,is-p,exclude
809699,m-sp,exclude
801981,m-si,exclude
799756,fx-m,exclude
798297,is-p,exclude
828392,fx-h,exclude
802318,m-si,exclude
800332,is-p,exclude
802416,is-p,exclude
809714,m-sp,exclude
798957,is-p,exclude
801977,m-si,exclude
809380,m-sp,exclude
809568,m-sp,exclude
798183,is-p,exclude
802411,is-p,exclude
802778,m-si,exclude
800054,fx-m,exclude
802433,is-p,exclude
798904,is-p,exclude
835771,is-p,exclude
798255,is-p,exclude
799961,fx-m,exclude
802037,m-si,exclude
824613,fx-m,exclude
809742,m-sp,exclude
798252,is-p,exclude
798962,is-p,exclude
800265,is-p,exclude
802312,m-si,exclude
809739,m-sp,exclude
798779,is-p,exclude
809149,m-si,exclude
801996,m-si,exclude
809731,m-sp,exclude
799428,is-p,exclude
802152,is-p,exclude
800272,is-p,exclude
801486,fx-m,exclude
818300,fx-v,exclude
823136,fx-m,exclude
798964,is-p,exclude
809743,m-sp,exclude
798802,is-p,exclude
834352,fx-n,exclude
799728,fx-m,exclude
802141,is-p,exclude
802417,is-p,exclude
802317,m-si,exclude
798279,is-p,exclude
802045,m-si,exclude
802421,is-p,exclude
802022,m-si,exclude
799694,fx-m,exclude
802024,m-si,exclude
809569,m-sp,exclude
802178,is-p,exclude
