sound_id,action,reason,el2n_score,class_idx,top_class_idx,top_class,class,pruning_ratio,fold,mode,dataset_source
802014,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.411569953,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
809020,exclude,EL2N high score selected for pruning; top_class=m; class=m-m,1.410829067,2,tensor(0),m,m-m,0.5,0,both,BSD35k-CS
809706,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.410315156,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
802344,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.410263538,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
809656,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.410244942,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
802047,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.41022706,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
802324,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.41022265,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
802034,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.41012907,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
809726,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.409980536,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
802142,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.40988493,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
809645,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.409874797,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
809715,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.409795642,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
798959,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.409764051,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
809736,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.409755349,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
802001,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.409724712,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
809703,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.409709096,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
809740,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.409428596,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
800251,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.409360647,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
809730,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.409349561,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
798257,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.409329295,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
837703,exclude,EL2N high score selected for pruning; top_class=fx; class=fx-ex,1.409317613,17,tensor(3),fx,fx-ex,0.5,0,both,BSD35k-CS
802415,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.409309983,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
809701,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.409215212,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
798907,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.409204364,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
798299,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.409187317,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
815877,exclude,EL2N high score selected for pruning; top_class=fx; class=fx-h,1.40917325,14,tensor(3),fx,fx-h,0.5,0,both,BSD35k-CS
801995,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.409128308,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
802323,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.409101725,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
809294,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.409100056,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
802326,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.409074903,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
809623,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.40905118,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
798855,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.409048915,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
802313,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.409011841,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
802032,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.408979177,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
802311,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.408970952,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
802385,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.408893585,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
802424,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.408816218,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
809652,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.40880096,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
808872,exclude,EL2N high score selected for pruning; top_class=fx; class=fx-m,1.408747435,13,tensor(3),fx,fx-m,0.5,0,both,BSD35k-CS
802320,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.408688545,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
802335,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.408664107,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
809704,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.408634424,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
798785,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.40856111,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
802430,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.408511281,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
802440,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.408480167,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
812387,exclude,EL2N high score selected for pruning; top_class=fx; class=fx-h,1.408461452,14,tensor(3),fx,fx-h,0.5,0,both,BSD35k-CS
811217,exclude,EL2N high score selected for pruning; top_class=fx; class=fx-v,1.408443928,12,tensor(3),fx,fx-v,0.5,0,both,BSD35k-CS
798799,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.408411384,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
809644,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.408394217,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
809148,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.408390284,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
809301,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.408336997,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
802315,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.408332109,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
802048,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.408330441,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
833818,exclude,EL2N high score selected for pruning; top_class=fx; class=fx-h,1.408316493,14,tensor(3),fx,fx-h,0.5,0,both,BSD35k-CS
809679,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.408274889,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
809729,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.408262014,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
798902,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.408249736,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
801167,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.408228993,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
802035,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.40822649,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
801999,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.408207893,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
802011,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.408188343,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
809662,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.408179283,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
809713,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.408162475,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
800324,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.408154488,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
798924,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.408151507,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
798899,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.408117175,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
809741,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.408109546,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
798780,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.408065557,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
824115,exclude,EL2N high score selected for pruning; top_class=fx; class=fx-h,1.408036709,14,tensor(3),fx,fx-h,0.5,0,both,BSD35k-CS
798771,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.407999754,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
802040,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.407996178,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
807773,exclude,EL2N high score selected for pruning; top_class=fx; class=fx-h,1.407983899,14,tensor(3),fx,fx-h,0.5,0,both,BSD35k-CS
800261,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.407972693,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
798797,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.407965541,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
802030,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.407942653,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
800319,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.407942176,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
802305,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.407920599,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
801166,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.407891989,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
802003,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.407884359,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
798193,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.407874346,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
802299,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.407864451,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
802316,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.407834888,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
801983,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.407819748,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
837654,exclude,EL2N high score selected for pruning; top_class=fx; class=fx-m,1.407778621,13,tensor(3),fx,fx-m,0.5,0,both,BSD35k-CS
809554,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.407758594,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
798783,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.407725573,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
798928,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.407711625,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
800315,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.407684922,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
802004,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.407684684,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
802041,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.407653213,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
809565,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.407644272,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
809728,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.40763545,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
809779,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.407518148,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
809601,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.407461882,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
802039,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.407455206,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
809567,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.407439232,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
798269,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.407432318,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
802174,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.40742898,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
828863,exclude,EL2N high score selected for pruning; top_class=fx; class=fx-h,1.407428861,14,tensor(3),fx,fx-h,0.5,0,both,BSD35k-CS
827002,exclude,EL2N high score selected for pruning; top_class=fx; class=fx-el,1.407398224,18,tensor(3),fx,fx-el,0.5,0,both,BSD35k-CS
801126,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.407396674,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
799890,exclude,EL2N high score selected for pruning; top_class=fx; class=fx-m,1.407393336,13,tensor(3),fx,fx-m,0.5,0,both,BSD35k-CS
800330,exclude,EL2N high score selected for pruning; top_class=is; class=is-p,1.407358766,3,tensor(1),is,is-p,0.5,0,both,BSD35k-CS
809497,exclude,EL2N high score selected for pruning; top_class=m; class=m-sp,1.407350183,0,tensor(0),m,m-sp,0.5,0,both,BSD35k-CS
802314,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.407314658,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
801997,exclude,EL2N high score selected for pruning; top_class=m; class=m-si,1.407310605,1,tensor(0),m,m-si,0.5,0,both,BSD35k-CS
