sound_id,action,reason
802014,exclude,el2n_40
809020,exclude,el2n_40
809706,exclude,el2n_40
802344,exclude,el2n_40
809656,exclude,el2n_40
802047,exclude,el2n_40
802324,exclude,el2n_40
802034,exclude,el2n_40
809726,exclude,el2n_40
802142,exclude,el2n_40
809645,exclude,el2n_40
809715,exclude,el2n_40
798959,exclude,el2n_40
809736,exclude,el2n_40
802001,exclude,el2n_40
809703,exclude,el2n_40
809740,exclude,el2n_40
800251,exclude,el2n_40
809730,exclude,el2n_40
798257,exclude,el2n_40
837703,exclude,el2n_40
802415,exclude,el2n_40
809701,exclude,el2n_40
798907,exclude,el2n_40
798299,exclude,el2n_40
815877,exclude,el2n_40
801995,exclude,el2n_40
802323,exclude,el2n_40
809294,exclude,el2n_40
802326,exclude,el2n_40
809623,exclude,el2n_40
798855,exclude,el2n_40
802313,exclude,el2n_40
802032,exclude,el2n_40
802311,exclude,el2n_40
802385,exclude,el2n_40
802424,exclude,el2n_40
809652,exclude,el2n_40
808872,exclude,el2n_40
802320,exclude,el2n_40
802335,exclude,el2n_40
809704,exclude,el2n_40
798785,exclude,el2n_40
802430,exclude,el2n_40
802440,exclude,el2n_40
812387,exclude,el2n_40
811217,exclude,el2n_40
798799,exclude,el2n_40
809644,exclude,el2n_40
809148,exclude,el2n_40
809301,exclude,el2n_40
802315,exclude,el2n_40
802048,exclude,el2n_40
833818,exclude,el2n_40
809679,exclude,el2n_40
809729,exclude,el2n_40
798902,exclude,el2n_40
801167,exclude,el2n_40
802035,exclude,el2n_40
801999,exclude,el2n_40
802011,exclude,el2n_40
809662,exclude,el2n_40
809713,exclude,el2n_40
800324,exclude,el2n_40
798924,exclude,el2n_40
798899,exclude,el2n_40
809741,exclude,el2n_40
798780,exclude,el2n_40
824115,exclude,el2n_40
798771,exclude,el2n_40
802040,exclude,el2n_40
807773,exclude,el2n_40
800261,exclude,el2n_40
798797,exclude,el2n_40
802030,exclude,el2n_40
800319,exclude,el2n_40
