sound_id,action,reason
818860,exclude,grand_40
804922,exclude,grand_40
823504,exclude,grand_40
828753,exclude,grand_40
808205,exclude,grand_40
828752,exclude,grand_40
828754,exclude,grand_40
832500,exclude,grand_40
798212,exclude,grand_40
810409,exclude,grand_40
819032,exclude,grand_40
836164,exclude,grand_40
831294,exclude,grand_40
832561,exclude,grand_40
805551,exclude,grand_40
805535,exclude,grand_40
830374,exclude,grand_40
823470,exclude,grand_40
840541,exclude,grand_40
826128,exclude,grand_40
815754,exclude,grand_40
829920,exclude,grand_40
842308,exclude,grand_40
819483,exclude,grand_40
823721,exclude,grand_40
829799,exclude,grand_40
833453,exclude,grand_40
805559,exclude,grand_40
823458,exclude,grand_40
807161,exclude,grand_40
836385,exclude,grand_40
825975,exclude,grand_40
813030,exclude,grand_40
823859,exclude,grand_40
830929,exclude,grand_40
838908,exclude,grand_40
813026,exclude,grand_40
843270,exclude,grand_40
819167,exclude,grand_40
805043,exclude,grand_40
829798,exclude,grand_40
831218,exclude,grand_40
838396,exclude,grand_40
815196,exclude,grand_40
811906,exclude,grand_40
813028,exclude,grand_40
819009,exclude,grand_40
838717,exclude,grand_40
804683,exclude,grand_40
839686,exclude,grand_40
835851,exclude,grand_40
823653,exclude,grand_40
805099,exclude,grand_40
824029,exclude,grand_40
825371,exclude,grand_40
823227,exclude,grand_40
805556,exclude,grand_40
836369,exclude,grand_40
807863,exclude,grand_40
815751,exclude,grand_40
838723,exclude,grand_40
837396,exclude,grand_40
838720,exclude,grand_40
819037,exclude,grand_40
833501,exclude,grand_40
823696,exclude,grand_40
823660,exclude,grand_40
805522,exclude,grand_40
819887,exclude,grand_40
839826,exclude,grand_40
836162,exclude,grand_40
831314,exclude,grand_40
805518,exclude,grand_40
808019,exclude,grand_40
823482,exclude,grand_40
835663,exclude,grand_40
805530,exclude,grand_40
798084,exclude,grand_40
804508,exclude,grand_40
805526,exclude,grand_40
823625,exclude,grand_40
822587,exclude,grand_40
839813,exclude,grand_40
823624,exclude,grand_40
819888,exclude,grand_40
807769,exclude,grand_40
838718,exclude,grand_40
802074,exclude,grand_40
819149,exclude,grand_40
824191,exclude,grand_40
802929,exclude,grand_40
838612,exclude,grand_40
831161,exclude,grand_40
823872,exclude,grand_40
813032,exclude,grand_40
831605,exclude,grand_40
816745,exclude,grand_40
826359,exclude,grand_40
823782,exclude,grand_40
805083,exclude,grand_40
797756,exclude,grand_40
802794,exclude,grand_40
826797,exclude,grand_40
824998,exclude,grand_40
827539,exclude,grand_40
831182,exclude,grand_40
803855,exclude,grand_40
811610,exclude,grand_40
838725,exclude,grand_40
843186,exclude,grand_40
814741,exclude,grand_40
824192,exclude,grand_40
827655,exclude,grand_40
824011,exclude,grand_40
813029,exclude,grand_40
832669,exclude,grand_40
809317,exclude,grand_40
802462,exclude,grand_40
817802,exclude,grand_40
802812,exclude,grand_40
826170,exclude,grand_40
838668,exclude,grand_40
838671,exclude,grand_40
817591,exclude,grand_40
835733,exclude,grand_40
840340,exclude,grand_40
819669,exclude,grand_40
810038,exclude,grand_40
804691,exclude,grand_40
814044,exclude,grand_40
812390,exclude,grand_40
817857,exclude,grand_40
837594,exclude,grand_40
815396,exclude,grand_40
823745,exclude,grand_40
818998,exclude,grand_40
838721,exclude,grand_40
840536,exclude,grand_40
834954,exclude,grand_40
817836,exclude,grand_40
835734,exclude,grand_40
837885,exclude,grand_40
808619,exclude,grand_40
813019,exclude,grand_40
830199,exclude,grand_40
839043,exclude,grand_40
839512,exclude,grand_40
838719,exclude,grand_40
799803,exclude,grand_40
828389,exclude,grand_40
842631,exclude,grand_40
833502,exclude,grand_40
817941,exclude,grand_40
842844,exclude,grand_40
802817,exclude,grand_40
838615,exclude,grand_40
839595,exclude,grand_40
824065,exclude,grand_40
823209,exclude,grand_40
838715,exclude,grand_40
816327,exclude,grand_40
813021,exclude,grand_40
839363,exclude,grand_40
825401,exclude,grand_40
828330,exclude,grand_40
825417,exclude,grand_40
831122,exclude,grand_40
837037,exclude,grand_40
819029,exclude,grand_40
805046,exclude,grand_40
805543,exclude,grand_40
802464,exclude,grand_40
815512,exclude,grand_40
839067,exclude,grand_40
812280,exclude,grand_40
796133,exclude,grand_40
805072,exclude,grand_40
837886,exclude,grand_40
815144,exclude,grand_40
815745,exclude,grand_40
830039,exclude,grand_40
802957,exclude,grand_40
816388,exclude,grand_40
808540,exclude,grand_40
823412,exclude,grand_40
813178,exclude,grand_40
823866,exclude,grand_40
830996,exclude,grand_40
805539,exclude,grand_40
823331,exclude,grand_40
809816,exclude,grand_40
802615,exclude,grand_40
828420,exclude,grand_40
824194,exclude,grand_40
807765,exclude,grand_40
826627,exclude,grand_40
839431,exclude,grand_40
806513,exclude,grand_40
843123,exclude,grand_40
834955,exclude,grand_40
805555,exclude,grand_40
829864,exclude,grand_40
831006,exclude,grand_40
827578,exclude,grand_40
817920,exclude,grand_40
815758,exclude,grand_40
843158,exclude,grand_40
831501,exclude,grand_40
808637,exclude,grand_40
839816,exclude,grand_40
839054,exclude,grand_40
812279,exclude,grand_40
797583,exclude,grand_40
812787,exclude,grand_40
814747,exclude,grand_40
833673,exclude,grand_40
816770,exclude,grand_40
824193,exclude,grand_40
836523,exclude,grand_40
815753,exclude,grand_40
834953,exclude,grand_40
802844,exclude,grand_40
839071,exclude,grand_40
805514,exclude,grand_40
842252,exclude,grand_40
805468,exclude,grand_40
834905,exclude,grand_40
828097,exclude,grand_40
809423,exclude,grand_40
829560,exclude,grand_40
812555,exclude,grand_40
838716,exclude,grand_40
816066,exclude,grand_40
825773,exclude,grand_40
802964,exclude,grand_40
803363,exclude,grand_40
841206,exclude,grand_40
823911,exclude,grand_40
824642,exclude,grand_40
808318,exclude,grand_40
807572,exclude,grand_40
831276,exclude,grand_40
828624,exclude,grand_40
839042,exclude,grand_40
826175,exclude,grand_40
841569,exclude,grand_40
818297,exclude,grand_40
829289,exclude,grand_40
842942,exclude,grand_40
800123,exclude,grand_40
825587,exclude,grand_40
802465,exclude,grand_40
833451,exclude,grand_40
823332,exclude,grand_40
832353,exclude,grand_40
827463,exclude,grand_40
839831,exclude,grand_40
829894,exclude,grand_40
811921,exclude,grand_40
828006,exclude,grand_40
831947,exclude,grand_40
815352,exclude,grand_40
797587,exclude,grand_40
827848,exclude,grand_40
817445,exclude,grand_40
823977,exclude,grand_40
798678,exclude,grand_40
810068,exclude,grand_40
842846,exclude,grand_40
838722,exclude,grand_40
839367,exclude,grand_40
828755,exclude,grand_40
830908,exclude,grand_40
811955,exclude,grand_40
834958,exclude,grand_40
819010,exclude,grand_40
798268,exclude,grand_40
837730,exclude,grand_40
803792,exclude,grand_40
838670,exclude,grand_40
839433,exclude,grand_40
824534,exclude,grand_40
832444,exclude,grand_40
831433,exclude,grand_40
831075,exclude,grand_40
819656,exclude,grand_40
834956,exclude,grand_40
831051,exclude,grand_40
824344,exclude,grand_40
803794,exclude,grand_40
805047,exclude,grand_40
830198,exclude,grand_40
808595,exclude,grand_40
809786,exclude,grand_40
833505,exclude,grand_40
817455,exclude,grand_40
826701,exclude,grand_40
834951,exclude,grand_40
838967,exclude,grand_40
830755,exclude,grand_40
827917,exclude,grand_40
805176,exclude,grand_40
828562,exclude,grand_40
803122,exclude,grand_40
818294,exclude,grand_40
830369,exclude,grand_40
798257,exclude,grand_40
819146,exclude,grand_40
834957,exclude,grand_40
824911,exclude,grand_40
815752,exclude,grand_40
824530,exclude,grand_40
805322,exclude,grand_40
841988,exclude,grand_40
800655,exclude,grand_40
831194,exclude,grand_40
810020,exclude,grand_40
807668,exclude,grand_40
830610,exclude,grand_40
