sound_id,action,reason
818860,exclude,intersection
804922,exclude,intersection
823504,exclude,intersection
828753,exclude,intersection
808205,exclude,intersection
828752,exclude,intersection
828754,exclude,intersection
832500,exclude,intersection
798212,exclude,intersection
810409,exclude,intersection
819032,exclude,intersection
836164,exclude,intersection
832561,exclude,intersection
805551,exclude,intersection
805535,exclude,intersection
830374,exclude,intersection
840541,exclude,intersection
826128,exclude,intersection
815754,exclude,intersection
842308,exclude,intersection
819483,exclude,intersection
829799,exclude,intersection
833453,exclude,intersection
805559,exclude,intersection
807161,exclude,intersection
836385,exclude,intersection
825975,exclude,intersection
813030,exclude,intersection
838908,exclude,intersection
843270,exclude,intersection
819167,exclude,intersection
805043,exclude,intersection
829798,exclude,intersection
838396,exclude,intersection
815196,exclude,intersection
811906,exclude,intersection
813028,exclude,intersection
819009,exclude,intersection
838717,exclude,intersection
804683,exclude,intersection
839686,exclude,intersection
823653,exclude,intersection
805099,exclude,intersection
825371,exclude,intersection
823227,exclude,intersection
805556,exclude,intersection
836369,exclude,intersection
807863,exclude,intersection
815751,exclude,intersection
838723,exclude,intersection
837396,exclude,intersection
838720,exclude,intersection
819037,exclude,intersection
833501,exclude,intersection
805522,exclude,intersection
819887,exclude,intersection
839826,exclude,intersection
836162,exclude,intersection
831314,exclude,intersection
805518,exclude,intersection
808019,exclude,intersection
835663,exclude,intersection
805530,exclude,intersection
798084,exclude,intersection
804508,exclude,intersection
805526,exclude,intersection
823625,exclude,intersection
822587,exclude,intersection
839813,exclude,intersection
823624,exclude,intersection
819888,exclude,intersection
807769,exclude,intersection
838718,exclude,intersection
802074,exclude,intersection
819149,exclude,intersection
824191,exclude,intersection
802929,exclude,intersection
838612,exclude,intersection
831161,exclude,intersection
813032,exclude,intersection
831605,exclude,intersection
816745,exclude,intersection
826359,exclude,intersection
797756,exclude,intersection
802794,exclude,intersection
824998,exclude,intersection
827539,exclude,intersection
803855,exclude,intersection
811610,exclude,intersection
838725,exclude,intersection
843186,exclude,intersection
814741,exclude,intersection
824192,exclude,intersection
827655,exclude,intersection
824011,exclude,intersection
813029,exclude,intersection
832669,exclude,intersection
809317,exclude,intersection
802462,exclude,intersection
817802,exclude,intersection
802812,exclude,intersection
838668,exclude,intersection
838671,exclude,intersection
817591,exclude,intersection
835733,exclude,intersection
840340,exclude,intersection
819669,exclude,intersection
810038,exclude,intersection
804691,exclude,intersection
814044,exclude,intersection
812390,exclude,intersection
817857,exclude,intersection
837594,exclude,intersection
815396,exclude,intersection
823745,exclude,intersection
818998,exclude,intersection
838721,exclude,intersection
840536,exclude,intersection
834954,exclude,intersection
817836,exclude,intersection
835734,exclude,intersection
837885,exclude,intersection
808619,exclude,intersection
813019,exclude,intersection
830199,exclude,intersection
839043,exclude,intersection
839512,exclude,intersection
838719,exclude,intersection
799803,exclude,intersection
828389,exclude,intersection
842631,exclude,intersection
833502,exclude,intersection
817941,exclude,intersection
842844,exclude,intersection
802817,exclude,intersection
838615,exclude,intersection
839595,exclude,intersection
823209,exclude,intersection
838715,exclude,intersection
816327,exclude,intersection
813021,exclude,intersection
839363,exclude,intersection
825401,exclude,intersection
828330,exclude,intersection
837037,exclude,intersection
819029,exclude,intersection
805046,exclude,intersection
805543,exclude,intersection
802464,exclude,intersection
815512,exclude,intersection
839067,exclude,intersection
812280,exclude,intersection
796133,exclude,intersection
837886,exclude,intersection
815144,exclude,intersection
815745,exclude,intersection
830039,exclude,intersection
802957,exclude,intersection
816388,exclude,intersection
808540,exclude,intersection
823412,exclude,intersection
823866,exclude,intersection
830996,exclude,intersection
805539,exclude,intersection
823331,exclude,intersection
