sound_id,action,reason
818860,exclude,union
804922,exclude,union
823504,exclude,union
828753,exclude,union
808205,exclude,union
828752,exclude,union
828754,exclude,union
832500,exclude,union
798212,exclude,union
810409,exclude,union
819032,exclude,union
836164,exclude,union
831294,exclude,union
832561,exclude,union
805551,exclude,union
805535,exclude,union
830374,exclude,union
823470,exclude,union
840541,exclude,union
826128,exclude,union
815754,exclude,union
829920,exclude,union
842308,exclude,union
819483,exclude,union
823721,exclude,union
829799,exclude,union
833453,exclude,union
805559,exclude,union
823458,exclude,union
807161,exclude,union
836385,exclude,union
825975,exclude,union
813030,exclude,union
823859,exclude,union
830929,exclude,union
838908,exclude,union
813026,exclude,union
843270,exclude,union
819167,exclude,union
805043,exclude,union
829798,exclude,union
831218,exclude,union
838396,exclude,union
815196,exclude,union
811906,exclude,union
813028,exclude,union
819009,exclude,union
838717,exclude,union
804683,exclude,union
839686,exclude,union
835851,exclude,union
823653,exclude,union
805099,exclude,union
824029,exclude,union
825371,exclude,union
823227,exclude,union
805556,exclude,union
836369,exclude,union
807863,exclude,union
815751,exclude,union
838723,exclude,union
837396,exclude,union
838720,exclude,union
819037,exclude,union
833501,exclude,union
823696,exclude,union
823660,exclude,union
805522,exclude,union
819887,exclude,union
839826,exclude,union
836162,exclude,union
831314,exclude,union
805518,exclude,union
808019,exclude,union
823482,exclude,union
835663,exclude,union
805530,exclude,union
798084,exclude,union
804508,exclude,union
805526,exclude,union
823625,exclude,union
822587,exclude,union
839813,exclude,union
823624,exclude,union
819888,exclude,union
807769,exclude,union
838718,exclude,union
802074,exclude,union
819149,exclude,union
824191,exclude,union
802929,exclude,union
838612,exclude,union
831161,exclude,union
823872,exclude,union
813032,exclude,union
831605,exclude,union
816745,exclude,union
826359,exclude,union
823782,exclude,union
805083,exclude,union
797756,exclude,union
802794,exclude,union
826797,exclude,union
824998,exclude,union
827539,exclude,union
831182,exclude,union
803855,exclude,union
811610,exclude,union
838725,exclude,union
843186,exclude,union
814741,exclude,union
824192,exclude,union
827655,exclude,union
824011,exclude,union
813029,exclude,union
832669,exclude,union
809317,exclude,union
802462,exclude,union
817802,exclude,union
802812,exclude,union
826170,exclude,union
838668,exclude,union
838671,exclude,union
817591,exclude,union
835733,exclude,union
840340,exclude,union
819669,exclude,union
810038,exclude,union
804691,exclude,union
814044,exclude,union
812390,exclude,union
817857,exclude,union
837594,exclude,union
815396,exclude,union
823745,exclude,union
818998,exclude,union
838721,exclude,union
840536,exclude,union
834954,exclude,union
817836,exclude,union
835734,exclude,union
837885,exclude,union
808619,exclude,union
813019,exclude,union
830199,exclude,union
839043,exclude,union
839512,exclude,union
838719,exclude,union
799803,exclude,union
828389,exclude,union
842631,exclude,union
833502,exclude,union
817941,exclude,union
842844,exclude,union
802817,exclude,union
838615,exclude,union
839595,exclude,union
824065,exclude,union
823209,exclude,union
838715,exclude,union
816327,exclude,union
813021,exclude,union
839363,exclude,union
825401,exclude,union
828330,exclude,union
825417,exclude,union
831122,exclude,union
837037,exclude,union
819029,exclude,union
805046,exclude,union
805543,exclude,union
802464,exclude,union
815512,exclude,union
839067,exclude,union
812280,exclude,union
796133,exclude,union
805072,exclude,union
837886,exclude,union
815144,exclude,union
815745,exclude,union
830039,exclude,union
802957,exclude,union
816388,exclude,union
808540,exclude,union
823412,exclude,union
813178,exclude,union
823866,exclude,union
830996,exclude,union
805539,exclude,union
823331,exclude,union
