sound_id,class,action
818860,sp-s,exclude
804922,ss-n,exclude
823504,sp-s,exclude
828753,fx-v,exclude
808205,sp-s,exclude
828752,fx-v,exclude
828754,fx-v,exclude
832500,fx-m,exclude
798212,m-si,exclude
810409,fx-v,exclude
819032,fx-v,exclude
836164,fx-v,exclude
831294,ss-n,exclude
832561,ss-i,exclude
805551,is-p,exclude
805535,is-p,exclude
830374,fx-h,exclude
823470,ss-n,exclude
840541,ss-s,exclude
826128,ss-s,exclude
815754,fx-h,exclude
829920,ss-n,exclude
842308,fx-a,exclude
819483,ss-n,exclude
823721,ss-n,exclude
829799,fx-el,exclude
833453,fx-n,exclude
805559,is-p,exclude
823458,ss-n,exclude
807161,ss-n,exclude
836385,fx-m,exclude
825975,fx-v,exclude
813030,fx-h,exclude
823859,ss-n,exclude
830929,ss-n,exclude
838908,ss-s,exclude
813026,fx-h,exclude
843270,fx-el,exclude
819167,fx-m,exclude
805043,fx-a,exclude
829798,fx-el,exclude
831218,ss-n,exclude
838396,fx-v,exclude
815196,m-sp,exclude
811906,fx-v,exclude
813028,fx-h,exclude
819009,fx-v,exclude
838717,fx-v,exclude
804683,fx-h,exclude
839686,fx-v,exclude
835851,fx-a,exclude
823653,ss-n,exclude
805099,fx-o,exclude
824029,ss-n,exclude
825371,ss-s,exclude
823227,fx-o,exclude
805556,is-p,exclude
836369,ss-u,exclude
807863,fx-h,exclude
815751,fx-h,exclude
838723,fx-v,exclude
837396,fx-el,exclude
838720,fx-v,exclude
819037,fx-v,exclude
833501,m-sp,exclude
823696,ss-n,exclude
823660,ss-n,exclude
805522,is-p,exclude
819887,fx-m,exclude
839826,ss-n,exclude
836162,fx-v,exclude
831314,ss-n,exclude
805518,is-p,exclude
808019,fx-h,exclude
823482,ss-n,exclude
835663,ss-n,exclude
805530,is-p,exclude
798084,ss-n,exclude
804508,sp-s,exclude
805526,is-p,exclude
823625,ss-n,exclude
822587,fx-el,exclude
839813,ss-i,exclude
823624,ss-n,exclude
819888,fx-m,exclude
807769,fx-h,exclude
838718,fx-v,exclude
802074,fx-n,exclude
819149,fx-o,exclude
824191,fx-m,exclude
802929,fx-el,exclude
838612,fx-v,exclude
831161,ss-n,exclude
823872,ss-n,exclude
813032,fx-h,exclude
831605,ss-s,exclude
816745,fx-a,exclude
826359,is-s,exclude
823782,ss-n,exclude
805083,fx-o,exclude
797756,ss-s,exclude
802794,m-si,exclude
826797,ss-s,exclude
824998,fx-h,exclude
827539,fx-a,exclude
831182,ss-n,exclude
803855,m-m,exclude
811610,ss-n,exclude
838725,fx-v,exclude
843186,m-m,exclude
814741,ss-u,exclude
824192,fx-m,exclude
827655,fx-h,exclude
824011,ss-n,exclude
813029,fx-h,exclude
832669,ss-i,exclude
809317,m-sp,exclude
802462,fx-n,exclude
817802,fx-m,exclude
802812,m-si,exclude
826170,is-p,exclude
838668,fx-v,exclude
838671,fx-v,exclude
817591,ss-n,exclude
835733,ss-i,exclude
840340,m-m,exclude
819669,fx-v,exclude
810038,ss-n,exclude
804691,fx-n,exclude
814044,fx-el,exclude
812390,ss-u,exclude
817857,fx-m,exclude
837594,fx-v,exclude
815396,ss-s,exclude
823745,ss-n,exclude
818998,is-k,exclude
838721,fx-v,exclude
840536,ss-s,exclude
834954,is-e,exclude
817836,fx-o,exclude
835734,ss-i,exclude
837885,fx-o,exclude
808619,m-sp,exclude
813019,fx-h,exclude
830199,fx-v,exclude
839043,fx-v,exclude
839512,fx-v,exclude
838719,fx-v,exclude
799803,fx-m,exclude
828389,fx-h,exclude
842631,fx-v,exclude
833502,m-sp,exclude
817941,fx-el,exclude
842844,is-e,exclude
802817,m-si,exclude
838615,fx-v,exclude
839595,fx-a,exclude
824065,ss-n,exclude
823209,fx-el,exclude
838715,fx-v,exclude
816327,ss-i,exclude
813021,fx-h,exclude
839363,fx-el,exclude
825401,fx-h,exclude
828330,fx-h,exclude
825417,fx-a,exclude
831122,ss-n,exclude
837037,fx-h,exclude
819029,fx-v,exclude
805046,fx-a,exclude
805543,is-p,exclude
802464,fx-n,exclude
815512,is-e,exclude
839067,fx-v,exclude
812280,fx-o,exclude
796133,fx-n,exclude
805072,fx-a,exclude
837886,ss-i,exclude
815144,ss-s,exclude
815745,fx-h,exclude
830039,ss-n,exclude
802957,fx-el,exclude
816388,ss-s,exclude
808540,m-sp,exclude
823412,ss-n,exclude
813178,fx-h,exclude
823866,ss-n,exclude
830996,ss-n,exclude
805539,is-p,exclude
823331,ss-n,exclude
809816,m-sp,exclude
802615,fx-h,exclude
828420,ss-u,exclude
824194,fx-m,exclude
807765,fx-h,exclude
826627,fx-n,exclude
839431,fx-v,exclude
806513,fx-el,exclude
843123,fx-v,exclude
834955,is-e,exclude
805555,is-p,exclude
829864,ss-s,exclude
831006,ss-n,exclude
827578,fx-el,exclude
817920,ss-i,exclude
815758,fx-h,exclude
843158,ss-u,exclude
831501,ss-s,exclude
808637,is-k,exclude
839816,ss-i,exclude
839054,fx-v,exclude
812279,fx-o,exclude
797583,fx-o,exclude
812787,is-p,exclude
814747,is-w,exclude
833673,sp-s,exclude
816770,fx-n,exclude
824193,fx-m,exclude
836523,ss-n,exclude
815753,fx-h,exclude
834953,is-e,exclude
802844,fx-m,exclude
839071,fx-v,exclude
805514,is-p,exclude
842252,fx-h,exclude
805468,fx-h,exclude
834905,is-e,exclude
828097,ss-i,exclude
809423,is-e,exclude
829560,m-m,exclude
812555,fx-h,exclude
838716,fx-v,exclude
816066,fx-n,exclude
825773,fx-el,exclude
802964,fx-el,exclude
803363,ss-n,exclude
841206,m-m,exclude
823911,ss-n,exclude
824642,fx-m,exclude
808318,fx-h,exclude
807572,fx-o,exclude
831276,ss-n,exclude
828624,sp-s,exclude
839042,fx-v,exclude
826175,is-p,exclude
841569,is-e,exclude
818297,fx-v,exclude
829289,fx-el,exclude
842942,ss-u,exclude
800123,fx-o,exclude
825587,fx-el,exclude
802465,fx-n,exclude
833451,fx-n,exclude
823332,ss-n,exclude
832353,fx-o,exclude
827463,fx-h,exclude
839831,ss-n,exclude
829894,m-m,exclude
811921,fx-h,exclude
828006,ss-u,exclude
831947,fx-h,exclude
815352,fx-o,exclude
797587,fx-h,exclude
827848,is-e,exclude
817445,ss-s,exclude
823977,ss-n,exclude
798678,fx-h,exclude
810068,sp-s,exclude
842846,is-e,exclude
838722,fx-v,exclude
839367,fx-el,exclude
828755,fx-v,exclude
830908,ss-n,exclude
811955,fx-v,exclude
834958,is-e,exclude
819010,fx-v,exclude
798268,ss-n,exclude
837730,fx-m,exclude
803792,ss-n,exclude
838670,fx-v,exclude
839433,fx-v,exclude
824534,ss-n,exclude
832444,m-m,exclude
831433,fx-h,exclude
831075,ss-n,exclude
819656,fx-h,exclude
834956,is-e,exclude
831051,ss-n,exclude
824344,m-m,exclude
803794,ss-n,exclude
805047,fx-a,exclude
830198,fx-v,exclude
808595,fx-h,exclude
809786,m-sp,exclude
833505,m-sp,exclude
817455,sp-s,exclude
826701,ss-n,exclude
834951,is-e,exclude
838967,ss-i,exclude
830755,ss-n,exclude
827917,ss-s,exclude
805176,fx-m,exclude
828562,fx-a,exclude
803122,fx-o,exclude
818294,fx-v,exclude
830369,ss-u,exclude
798257,is-p,exclude
819146,ss-s,exclude
834957,is-e,exclude
824911,fx-a,exclude
815752,fx-h,exclude
824530,ss-n,exclude
805322,fx-m,exclude
841988,fx-h,exclude
800655,fx-v,exclude
831194,ss-n,exclude
810020,ss-n,exclude
807668,ss-s,exclude
830610,ss-n,exclude
809328,m-sp,exclude
831406,ss-n,exclude
813275,ss-u,exclude
798681,fx-n,exclude
803599,fx-h,exclude
842788,m-si,exclude
842527,ss-u,exclude
803589,fx-a,exclude
823962,ss-n,exclude
837633,ss-u,exclude
823326,ss-n,exclude
832550,fx-n,exclude
809138,m-sp,exclude
810851,fx-o,exclude
815575,fx-m,exclude
806888,sp-s,exclude
811913,ss-u,exclude
833889,fx-el,exclude
798928,is-p,exclude
802142,is-p,exclude
825646,m-m,exclude
832850,ss-n,exclude
837533,ss-u,exclude
834960,is-e,exclude
802415,is-p,exclude
830562,fx-h,exclude
825708,fx-v,exclude
818820,fx-h,exclude
800251,is-p,exclude
830474,ss-i,exclude
842861,is-e,exclude
827558,fx-h,exclude
809806,m-sp,exclude
843198,m-sp,exclude
834952,is-e,exclude
813020,fx-h,exclude
838744,fx-h,exclude
813022,fx-h,exclude
818522,ss-s,exclude
840100,fx-m,exclude
805039,fx-a,exclude
798855,is-p,exclude
825904,m-sp,exclude
836167,fx-v,exclude
817856,fx-m,exclude
806273,fx-m,exclude
807160,ss-n,exclude
806930,fx-o,exclude
833204,fx-el,exclude
836116,fx-v,exclude
809322,m-sp,exclude
802460,fx-n,exclude
823260,ss-n,exclude
828166,ss-n,exclude
817595,ss-n,exclude
824566,fx-h,exclude
803362,ss-n,exclude
830905,ss-n,exclude
834941,is-e,exclude
822335,fx-h,exclude
812359,fx-h,exclude
798785,is-p,exclude
802421,is-p,exclude
803839,fx-h,exclude
838660,fx-el,exclude
800803,fx-ex,exclude
822583,m-m,exclude
839511,fx-v,exclude
807595,fx-m,exclude
816998,fx-h,exclude
798907,is-p,exclude
824197,fx-m,exclude
798858,is-e,exclude
800978,sp-s,exclude
831021,ss-n,exclude
797913,is-w,exclude
829292,ss-u,exclude
817041,fx-h,exclude
820031,is-e,exclude
809789,m-sp,exclude
800324,is-p,exclude
837525,ss-u,exclude
825526,fx-h,exclude
805262,fx-a,exclude
833085,m-si,exclude
823320,ss-n,exclude
824594,fx-m,exclude
834938,is-e,exclude
818600,ss-s,exclude
834909,is-e,exclude
800764,fx-ex,exclude
831263,ss-n,exclude
832613,fx-h,exclude
840325,fx-v,exclude
811043,fx-o,exclude
825586,is-e,exclude
800252,is-p,exclude
833918,fx-o,exclude
817855,fx-m,exclude
824531,ss-n,exclude
807891,is-e,exclude
798936,ss-u,exclude
813031,fx-h,exclude
798959,is-p,exclude
831978,fx-h,exclude
826686,fx-o,exclude
802430,is-p,exclude
823729,ss-n,exclude
816053,fx-el,exclude
839510,fx-v,exclude
839700,fx-v,exclude
802158,ss-s,exclude
813392,fx-h,exclude
809338,m-sp,exclude
841767,ss-u,exclude
835955,fx-v,exclude
825860,ss-n,exclude
818999,fx-el,exclude
807345,ss-n,exclude
842408,fx-h,exclude
837321,fx-v,exclude
798505,is-e,exclude
811883,ss-s,exclude
806543,ss-u,exclude
811832,is-s,exclude
807301,fx-el,exclude
842515,ss-n,exclude
797901,is-w,exclude
812803,fx-m,exclude
798797,is-p,exclude
838081,sp-s,exclude
823440,ss-n,exclude
829848,fx-el,exclude
807957,fx-h,exclude
812281,fx-o,exclude
834359,fx-h,exclude
839070,fx-v,exclude
840336,m-m,exclude
800261,is-p,exclude
840870,fx-v,exclude
838724,fx-v,exclude
839553,fx-v,exclude
817864,fx-m,exclude
801167,is-p,exclude
817958,fx-n,exclude
798274,is-p,exclude
829480,is-p,exclude
800935,fx-v,exclude
817866,fx-m,exclude
801947,ss-n,exclude
833919,fx-o,exclude
819036,fx-v,exclude
815510,is-e,exclude
835732,ss-i,exclude
830994,ss-n,exclude
813049,fx-m,exclude
841573,is-e,exclude
809033,m-si,exclude
801925,m-m,exclude
833199,m-m,exclude
803434,is-p,exclude
815248,ss-s,exclude
822639,sp-p,exclude
818300,fx-v,exclude
809797,m-sp,exclude
801812,fx-n,exclude
820307,m-m,exclude
824196,fx-m,exclude
831069,ss-n,exclude
833624,fx-o,exclude
798192,is-p,exclude
798902,is-p,exclude
816065,fx-n,exclude
819745,fx-el,exclude
841989,is-p,exclude
823210,fx-el,exclude
832099,fx-m,exclude
798269,is-p,exclude
841380,fx-n,exclude
804496,fx-o,exclude
831669,fx-el,exclude
807414,ss-i,exclude
802416,is-p,exclude
809465,m-sp,exclude
801126,is-p,exclude
819176,fx-m,exclude
804961,fx-h,exclude
831450,ss-n,exclude
798904,is-p,exclude
833226,fx-o,exclude
840042,fx-el,exclude
798284,is-p,exclude
815521,is-e,exclude
839563,fx-v,exclude
824532,ss-n,exclude
799300,fx-m,exclude
824017,ss-n,exclude
841406,fx-h,exclude
798962,is-p,exclude
798964,is-p,exclude
829105,is-k,exclude
806523,ss-u,exclude
805681,fx-ex,exclude
802792,m-si,exclude
801165,is-p,exclude
798783,is-p,exclude
805303,fx-o,exclude
802424,is-p,exclude
798299,is-p,exclude
842161,fx-n,exclude
800315,is-p,exclude
802411,is-p,exclude
831403,ss-n,exclude
798697,fx-h,exclude
834001,ss-n,exclude
823794,ss-n,exclude
813216,is-p,exclude
812417,ss-s,exclude
826350,ss-u,exclude
841188,fx-a,exclude
798799,is-p,exclude
833916,m-m,exclude
842406,fx-h,exclude
816826,fx-h,exclude
802426,is-p,exclude
837568,fx-v,exclude
802819,m-si,exclude
827329,fx-h,exclude
827157,sp-s,exclude
830993,ss-n,exclude
829349,fx-v,exclude
817959,fx-n,exclude
805089,fx-n,exclude
798809,is-p,exclude
839631,fx-v,exclude
814660,ss-n,exclude
809451,ss-s,exclude
805325,fx-m,exclude
798960,is-p,exclude
802433,is-p,exclude
829713,ss-n,exclude
798237,ss-n,exclude
813515,ss-u,exclude
832877,fx-h,exclude
834930,is-e,exclude
798279,is-p,exclude
837804,ss-n,exclude
843091,fx-v,exclude
