rank,model,exp,config,hierarchical_f1_mean,hierarchical_f1_std,accuracy_mean,accuracy_std,top_accuracy_mean,macro_accuracy_mean
1,m2d_clap_vit_base_meanstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_no_conf1,81.38,0.42,82.7,0.11,86.86,77.43
2,clap_630k_chunk_meanmax,two_stage_exp2_proxy,pre_proxy_simple_ft_ce_cosine_hf1_filter1_union_filter2_no_conf1,81.32,0.35,82.23,0.48,90.36,77.46
3,clap_music_as_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_intersection_filter2_no_conf1,81.28,0.46,82.45,0.25,90.63,77.28
4,m2d_clap_vit_base_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_conf1,81.25,0.21,82.65,0.28,86.87,77.3
5,m2d_clap_vit_base_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_grand_40_filter2_conf1,81.25,0.36,82.7,0.24,86.65,77.41
6,clap_630k_chunk_meanmax,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_no_conf1,81.18,0.82,82.47,0.61,90.39,77.26
7,clap_music_as_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_ce_cosine_hf1_filter1_union_filter2_no_conf1,81.17,0.45,82.33,0.28,90.48,77.22
8,m2d_clap_vit_base_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_el2n_40_filter2_conf1,81.14,1.03,82.41,0.7,86.84,77.54
9,m2d_clap_vit_base_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_no_conf1,81.1,0.77,82.37,0.46,86.52,77.07
10,clap_630k_chunk_meanmax,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_ce_cosine_hf1_filter1_union_filter2_no_conf1,81.08,0.36,82.14,0.47,90.39,77.24
11,clap_630k_chunk_meanmax,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_conf1,81.08,0.46,82.14,0.29,90.27,77.25
12,m2d_clap_vit_base_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_el2n_40_filter2_conf1,81.08,1.23,82.45,0.96,86.89,77.2
13,m2d_clap_vit_base_meanstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_el2n_40_filter2_conf1,81.07,0.61,82.32,0.32,86.57,77.24
14,clap_music_as_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_hf1_filter1_el2n_40_filter2_conf1,81.06,0.48,82.15,0.27,90.59,77.21
15,clap_music_as_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_conf1,81.04,0.58,82.28,0.47,90.45,77.31
16,m2d_clap_vit_base_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_conf1,81.03,0.31,82.37,0.3,86.79,77.21
17,m2d_clap_vit_base_meanstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_hf1_filter1_grand_40_filter2_conf1,81.01,0.18,82.48,0.37,86.79,77.18
